1000 3
 3.54107 0.577985 -0.516232
 3.34525 9.60163 3.08402
 4.18617 -2.76117 -0.0261559
 -1.29352 3.48638 -0.631847
 -3.21989 -2.96424 0.0242911
 0.0777708 2.49507 -0.0113332
 -1.98853 -1.53396 -1.19556
 4.75427 11.8489 2.0922
 2.34185 5.17145 2.62305
 -2.18315 -1.41158 -0.195453
 -4.76868 -9.51483 -2.32412
 -3.78119 3.0095 -0.120406
 -2.94719 -3.44639 -1.27936
 -2.46072 -12.7855 -1.80086
 3.41247 -2.38866 1.01704
 -0.374181 7.33475 -0.235682
 3.5991 -1.44269 2.20963
 0.228933 2.15589 -0.293178
 0.839744 11.9873 2.0159
 -2.19171 3.1757 1.70367
 0.676505 4.1169 1.50418
 -1.61469 7.17079 1.19772
 -2.58264 -4.88309 -0.228683
 3.60455 11.5583 3.21172
 -4.65551 4.93431 0.998786
 1.37041 -8.37965 -1.39055
 -4.79712 -2.55408 -1.62862
 5.05721 0.631748 -0.0274163
 -4.07836 -14.2171 -1.70601
 -0.573186 -8.77731 -2.46937
 -2.23331 4.60236 -0.481481
 4.45427 10.0622 2.41394
 -0.44073 -1.69142 -0.876046
 -1.12739 3.79742 0.234334
 2.64933 2.67575 1.22786
 -1.44267 -8.67722 -0.380342
 -0.151887 9.82955 2.33706
 4.57339 8.96983 1.68371
 -2.9379 3.44017 -0.460464
 1.47323 -2.62962 -0.711066
 1.52674 -5.81633 0.67268
 -2.51539 6.66462 0.440397
 3.40799 0.53188 -1.1529
 -2.23666 6.36571 -1.32281
 -0.7558 0.748043 1.58599
 3.73039 6.24396 3.96611
 2.16651 8.11013 0.867654
 -0.245223 6.81519 0.363248
 -0.641686 5.36717 0.878191
 1.30104 10.3825 1.95466
 -0.288325 -5.21142 -0.325924
 5.89262 13.012 2.43544
 -3.3549 5.36646 0.514326
 1.32934 0.383426 0.497147
 3.50925 -3.07372 -2.1521
 3.02066 -1.67176 -0.256807
 0.713605 -6.61275 -1.13049
 -3.08549 -7.60092 -0.940088
 0.828448 0.63962 -0.187796
 -3.32424 4.72873 -0.346372
 -2.98079 -11.6865 -2.49941
 0.25707 4.25378 0.162297
 3.79458 12.5026 1.97954
 2.28701 0.74936 -1.42129
 3.37423 0.461058 1.89189
 -1.02477 -8.31543 -3.41721
 2.44668 -4.70988 -1.11375
 -2.61501 1.93313 0.78227
 -3.82336 3.52998 0.769794
 -3.78091 0.251326 -0.144502
 -3.57456 5.96994 3.9245
 -6.64301 -3.4126 -0.329645
 -2.55249 -8.40446 -2.34361
 1.71439 8.62376 1.03906
 1.24296 11.1597 1.98019
 0.507072 4.59242 2.18108
 -3.73285 -11.2403 -3.05203
 -1.81583 -9.56591 -3.88787
 -3.60491 -11.2628 -2.81055
 -0.142815 7.41351 1.4468
 0.423718 6.85523 0.736099
 -6.77278 -11.2427 -2.46113
 5.27983 -1.77872 0.744812
 3.59693 -4.81976 -0.101247
 4.40334 -4.75135 0.790137
 3.93274 -5.6296 -0.270436
 -6.29727 5.85206 -1.2292
 1.01495 -3.94881 -1.97879
 -2.18827 -4.39783 -0.483913
 4.11967 11.3504 4.72568
 -1.85997 -1.43921 -1.1814
 0.804317 -0.379312 -0.106869
 2.11874 -5.70745 0.0685278
 -0.269081 4.43442 1.14953
 -2.92931 8.54036 1.11111
 1.83631 6.1723 2.01426
 3.08221 4.06574 1.24689
 -3.7487 -1.29229 -2.5341
 4.1931 10.1856 2.13495
 5.19603 11.6407 3.6896
 6.18819 9.33494 2.60488
 3.96711 14.304 2.87869
 3.90398 3.03344 0.040059
 -3.19353 4.5784 -0.128979
 3.60581 -5.96452 -0.154654
 1.12342 -4.59037 -0.807482
 1.80051 -4.14587 -1.06162
 0.72733 -2.14415 0.432396
 -3.30861 -7.49597 -2.56577
 -4.54722 -2.4944 -3.20251
 -3.22434 0.260283 -0.897538
 0.081261 9.48575 2.13493
 -0.239902 -1.22369 0.811131
 3.31095 -4.97281 -1.12919
 0.159603 0.704094 -0.838576
 3.19999 3.40188 2.9365
 -0.734462 4.3843 0.404142
 -0.119544 -9.67673 -2.80677
 -1.46254 0.109456 -0.449102
 1.99049 -2.05337 0.637486
 1.9686 1.5495 -0.471664
 1.57484 -4.3062 -1.03735
 2.75161 -4.66454 -2.42768
 0.936137 -6.51397 -0.941538
 0.217338 3.28431 0.939781
 3.54166 5.71012 0.126382
 -1.84977 -8.77832 -1.42185
 2.69256 3.61027 -0.569012
 2.55032 -1.92977 -0.799592
 2.39608 -3.00583 -1.65288
 3.59095 7.93563 2.94189
 1.49714 -3.66868 -0.807249
 0.346136 -6.6716 -4.19504
 -1.81406 7.411 0.241337
 1.04243 -5.79728 -1.00075
 -4.02692 -6.45417 -1.05279
 1.83311 2.55873 2.48658
 1.78052 -3.43033 1.26768
 2.73161 -0.336422 -0.00826378
 -3.7148 -7.87717 -0.919584
 5.56833 -4.6676 0.172316
 3.12418 0.551373 0.00220705
 -2.79012 -3.55807 0.184716
 4.40744 14.0962 2.50842
 3.60011 6.80798 0.659919
 -3.2162 -2.17138 0.50326
 -1.58957 3.49728 1.24779
 3.28828 13.3806 3.18604
 4.17492 -1.63686 -1.11546
 3.33981 3.70441 -0.394264
 -3.46625 6.38414 1.28386
 3.99128 9.72042 2.97002
 -0.460092 1.32823 1.09576
 -5.80759 -6.70175 -0.343118
 3.30587 2.61071 1.98525
 -0.240702 5.10869 0.7142
 -0.973843 -4.26376 -3.35185
 -4.10492 1.98099 -0.50776
 2.5963 -5.1939 0.56189
 -0.58539 1.30229 -0.00415503
 4.10857 8.06052 0.906876
 -2.23036 -10.1799 -2.35184
 -0.282006 -7.59872 -2.38125
 -2.07562 -6.82515 -1.86907
 -2.79959 8.8643 0.342742
 5.74537 8.50673 2.08158
 2.53266 9.73581 1.01491
 -0.478393 -3.98119 -0.63463
 -0.426611 1.35443 0.587858
 0.26547 -4.30382 -0.530173
 -2.79432 -12.1989 -4.26576
 -3.76813 -1.16746 -1.17412
 0.674833 -5.33417 -1.22706
 -1.87317 -10.174 -1.00548
 -2.74623 9.80152 3.59143
 2.00751 -3.38093 -0.732623
 2.4949 6.39916 2.74039
 -0.0147377 -8.13184 -2.47733
 2.73718 5.37155 3.18901
 1.70565 -4.46711 -1.23912
