1000 3 
8.54107 -2.422015 -0.516232
8.34525 6.60163 3.08402
9.18617 -5.76117 -0.0261559
3.70648 0.48638 -0.631847
1.78011 -5.96424 0.0242911
5.0777708 -0.50493 -0.0113332
3.01147 -4.53396 -1.19556
9.75427 8.8489 2.0922
7.34185 2.17145 2.62305
2.81685 -4.41158 -0.195453
0.23132 -12.51483 -2.32412
1.21881 0.00950000000000006 -0.120406
2.05281 -6.44639 -1.27936
2.53928 -15.7855 -1.80086
8.41247 -5.38866 1.01704
4.625819 4.33475 -0.235682
8.5991 -4.44269 2.20963
5.228933 -0.84411 -0.293178
5.839744 8.9873 2.0159
2.80829 0.1757 1.70367
5.676505 1.1169 1.50418
3.38531 4.17079 1.19772
2.41736 -7.88309 -0.228683
8.60455 8.5583 3.21172
0.34449 1.93431 0.998786
6.37041 -11.37965 -1.39055
0.202879999999999 -5.55408 -1.62862
10.05721 -2.368252 -0.0274163
0.92164 -17.2171 -1.70601
4.426814 -11.77731 -2.46937
2.76669 1.60236 -0.481481
9.45427 7.0622 2.41394
4.55927 -4.69142 -0.876046
3.87261 0.79742 0.234334
7.64933 -0.32425 1.22786
3.55733 -11.67722 -0.380342
4.848113 6.82955 2.33706
9.57339 5.96983 1.68371
2.0621 0.44017 -0.460464
6.47323 -5.62962 -0.711066
6.52674 -8.81633 0.67268
2.48461 3.66462 0.440397
8.40799 -2.46812 -1.1529
2.76334 3.36571 -1.32281
4.2442 -2.251957 1.58599
8.73039 3.24396 3.96611
7.16651 5.11013 0.867654
4.754777 3.81519 0.363248
4.358314 2.36717 0.878191
6.30104 7.3825 1.95466
4.711675 -8.21142 -0.325924
10.89262 10.012 2.43544
1.6451 2.36646 0.514326
6.32934 -2.616574 0.497147
8.50925 -6.07372 -2.1521
8.02066 -4.67176 -0.256807
5.713605 -9.61275 -1.13049
1.91451 -10.60092 -0.940088
5.828448 -2.36038 -0.187796
1.67576 1.72873 -0.346372
2.01921 -14.6865 -2.49941
5.25707 1.25378 0.162297
8.79458 9.5026 1.97954
7.28701 -2.25064 -1.42129
8.37423 -2.538942 1.89189
3.97523 -11.31543 -3.41721
7.44668 -7.70988 -1.11375
2.38499 -1.06687 0.78227
1.17664 0.52998 0.769794
1.21909 -2.748674 -0.144502
1.42544 2.96994 3.9245
-1.64301 -6.4126 -0.329645
2.44751 -11.40446 -2.34361
6.71439 5.62376 1.03906
6.24296 8.1597 1.98019
5.507072 1.59242 2.18108
1.26715 -14.2403 -3.05203
3.18417 -12.56591 -3.88787
1.39509 -14.2628 -2.81055
4.857185 4.41351 1.4468
5.423718 3.85523 0.736099
-1.77278 -14.2427 -2.46113
10.27983 -4.77872 0.744812
8.59693 -7.81976 -0.101247
9.40334 -7.75135 0.790137
8.93274 -8.6296 -0.270436
-1.29727 2.85206 -1.2292
6.01495 -6.94881 -1.97879
2.81173 -7.39783 -0.483913
9.11967 8.3504 4.72568
3.14003 -4.43921 -1.1814
5.804317 -3.379312 -0.106869
7.11874 -8.70745 0.0685278
4.730919 1.43442 1.14953
2.07069 5.54036 1.11111
6.83631 3.1723 2.01426
8.08221 1.06574 1.24689
1.2513 -4.29229 -2.5341
9.1931 7.1856 2.13495
10.19603 8.6407 3.6896
11.18819 6.33494 2.60488
8.96711 11.304 2.87869
8.90398 0.0334400000000001 0.040059
1.80647 1.5784 -0.128979
8.60581 -8.96452 -0.154654
6.12342 -7.59037 -0.807482
6.80051 -7.14587 -1.06162
5.72733 -5.14415 0.432396
1.69139 -10.49597 -2.56577
0.45278 -5.4944 -3.20251
1.77566 -2.739717 -0.897538
5.081261 6.48575 2.13493
4.760098 -4.22369 0.811131
8.31095 -7.97281 -1.12919
5.159603 -2.295906 -0.838576
8.19999 0.40188 2.9365
4.265538 1.3843 0.404142
4.880456 -12.67673 -2.80677
3.53746 -2.890544 -0.449102
6.99049 -5.05337 0.637486
6.9686 -1.4505 -0.471664
6.57484 -7.3062 -1.03735
7.75161 -7.66454 -2.42768
5.936137 -9.51397 -0.941538
5.217338 0.28431 0.939781
8.54166 2.71012 0.126382
3.15023 -11.77832 -1.42185
7.69256 0.61027 -0.569012
7.55032 -4.92977 -0.799592
7.39608 -6.00583 -1.65288
8.59095 4.93563 2.94189
6.49714 -6.66868 -0.807249
5.346136 -9.6716 -4.19504
3.18594 4.411 0.241337
6.04243 -8.79728 -1.00075
0.97308 -9.45417 -1.05279
6.83311 -0.44127 2.48658
6.78052 -6.43033 1.26768
7.73161 -3.336422 -0.00826378
1.2852 -10.87717 -0.919584
10.56833 -7.6676 0.172316
8.12418 -2.448627 0.00220705
2.20988 -6.55807 0.184716
9.40744 11.0962 2.50842
8.60011 3.80798 0.659919
1.7838 -5.17138 0.50326
3.41043 0.49728 1.24779
8.28828 10.3806 3.18604
9.17492 -4.63686 -1.11546
8.33981 0.70441 -0.394264
1.53375 3.38414 1.28386
8.99128 6.72042 2.97002
4.539908 -1.67177 1.09576
